Placard,Description
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
0,NO NOTABLE DAMAGE
1,CHIMNEY DAMAGE
0,NO NOTABLE DAMAGE
0,NO NOTABLE DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
2,BRICK DAMAGE
1,WATER DAMAGE SPRINKLERS
1,"ROLL UP DOORS OFF TRACK, SPRINKLERS ACTIVIATED"
2,MASONRY FAILURE
1,"ROLL UP DOORS OFF TRACK, SPRINKLERS ACTIVIATED"
1,CHIMNEY DAMAGE (2)
1,CHIMNEY DAMAGE (2)
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
1,CHIMNEY DAMAGE
2,ROOF TILES FAILING
0,NO NOTABLE DAMAGE
2,"STRUCTURAL, BRICK FAILURE AND WATER LEAKS"
1,CHIMNEY DAMAGE
1,"CHIMNEY DAMAGE, BRICKS SEPARATED"
0,CHIMNEY DAMAGE
1,"MECHANICAL REGISTER, LIGHTS & INTERIOR"
2,CEILING DAMAGE-STRUCTURAL
2,"RECREATIONAL BUILDING, BRICK CHIMNEY FELL THROUGH ROOF"
1,CHIMNEY DAMAGE-HAZARD
1,CHIMNEY DAMAGE-HAZARD
1,"No noticable damages observed from exterior, chimney damages are inspected.Stay away until further inspection"
0,Cracks in wood ridge beam appear to be ordinary shrinkage cracks
0,"Cracks in GYPBD, roof beam @ porch & interior beam twisted."
0,minor cracks in chimney - home appears safe and secure
1,No use of front porch except to enter /exit home
1,front door does not open
0,"chimney fell from house, no futher threat of injury"
0,"Rear of unit 921 bldg of stucco about 6"" above sill, dosent appear to have rim joist. Cracking 7"" above sill, may desire more through struc eng eval"
0,no placard placed - minor stucco cracks
1,Rock veneer loose in front. Stairs coming loose from landings
1,"Cracked chimney, occupants stay 25 ft. aWy from chimney"
0,structure good
0,structure good
0,structure good
1,"Collapse, partial collapse, or building off foundation"
0,Non-struct/corbels slightly detach from struct. N-side under bay window;elect'l conduit detached from under box. Repair needed
1,[ATC shared with red for Unit A] no occupancy except as noted on tag - need engineer eval
2,"steel roof  off, damage with wind uplift, tank rocking (B-Tank)"
1,minor cracks in north exterior wall and south interior wall near stage
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,Interior GYP board cracking
1,chimney down from the ground level to the roof.
0,Stucco diagonal cracks @ garage header and garage side door. Inspected
1,Clay roof tiles fractured wood roof rafters
1,chimney seperated from wall interior and exterior
0,"Already been yellow tag, restricted area is @ backyard. Looks like there is on-going work. We didn't gain access"
1,Chimney Down
0,No visual damage
0,minor cracking interior sheetrock
0,Minor exterior/interior cracks. No visual structural damage
1,Advise not to use LR & master/spare bdrm. Under chimney (Monitor use) crack visible but not leaving owner claims wobbly chim. verified by contractor.
1,front entry stair separated from structure; sewer line leaking; chimney above roof fell away - engr eval req - do not use fireplace
2,"walkway  nails all pulled away from beams, 2x12 suports roof overhang"
1,Several loose brick and missing mortor joint
2,Unsafe building (Bounty Hunter)
1,Smell gas @ H20 heater. Recommend inspection on H20 heater. Chimney issues reported 7 other possible cracks. Stay clear from area until inspected
1,No information provided
1,"Chimney is slightly twisted above roof line, stair step cracking is visable on the face of chimney"
1,chimney shifted with fallen bricks
0,Owner not present no access- exterior assessment only GREEN TAG
1,[Andaz] façade work in entry
1,OK to occupy avoid chimney area
0,exterior only
0,"Green tag, no comments"
1,block wall falling down
1,cracked foundation
1,severe cracking at roofline; collapse hazard - use caution around fireplace and do not use
1,"fallen debris from damaged parapet, remove harzards"
0,Minor ext. stucco cracks (intermitent) GREEN TAG
1,brick facia separated from building structure and may fall to the north
0,"onwer has replaced water heater, AC united moved 1 ft, now bolted down; sidewalk has buckled"
1,cracked chimney
0,"Green tag, minor crack recommend further inspection under bldg"
1,"carport/trellis, crack in slab from exterior patio to inside slab - crack in heavy timber carport post (only carport red tagged) [ATC filed with yellow]"
1,"Drive way slab damaged, cracked & damage. Restricted to use"
1,"Observed mulitple crack & spalling of brick masonry on outside corners,fireplace fndn across drive width of fireplace"
1,No occupancy from area in front of chimney out to 20'
1,"House Shifted, damage to cripple walls"
0,green - no placard posted - minor damage to exterior stucco
1,"Top portion of chimney is leaning, avoid area around chimney"
1,Front porch pilaster and brick leaning and displaced
1,Chinmey fell over in the rear yard. Cracking in stucco at foundation in the front.
1,Damaged trellis on front of house
0,AC unit connection damage
1,Collapsed chimney - Correct under pining/shore/slope/post and beams
0,(Lutheran Church)
0,Observed minor non-structural stress cracks in drywall and no issues observed (Social Hall)
1,cracks at 4' level - dislodge bricks
1,Chimney falling hazard
0,Stucco crack (4'long) @ NE corner@sill pl. line
0,No damage from EQ
0,No issues
0,Cracks at CMU stem wall in front of house
1,"masonry façade, wood framing exposed to weather"
1,"Chimney damage near roof line, fall zone, taped off"
0,No comments
0,Superficial interior sheet rock cracks. Wood chimney structure has minor cracking @ intersection of house. Contractor/Engineer should look @ wood
0,No restrictions
1,chimney separated from house - wood frame chimney separated from house - building permit required
1,"chimney is leaning away from house, engineer to evaluate chimney to roof connection"
0,minor cracking at openings and interior coerns at top of landing - cosmetic
0,"roof tiles missing, stucco cracks at front entry"
0,"drywall & stucco cracks at kitchen, family room, garage"
0,no damages - minor cracks
1,"CMU wall at garage has 1/2"" crack at upper section - have engr verify integrity"
1,owner to have professional engineer or contractor evaluate foundation and porch
1,"movement 1/2"" to 1"" at north half of struvture to the west - SE to inspect foundation bolts"
1,Chimney down
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,Chimney damaged-Restricted area around chimney
1,"chimney broken at roofline, avoid using side yard near chimney until hazard is mitigated"
1,"chimney broken at roofline, avoid side yard near chimney until hazard is mitigated"
0,No comments
1,"Chimney collapsed onto cone dwy, with no collateral damage"
0,Collapsed chimney
0,"Unreinforced masonry, screen wall at sidewalk and adjacent back property line has fallen"
1,chimney crack per owner - could not verify from below (chimney intact)
0,Required to evaluate front porch columns
1,Masonry ext. walk got moderate cracks. Chimney has been cracked
0,No visual damage
0,Exterior only-no damage observed no restriciton
0,"Minor cracking exterior cement plaster & minor cracking along GYP, BD, Joints"
0,structure good
1,cracking and possible displacement/occupancy ok/fireplace cracking
0,No comments
0,"the exterior of the dwelling inspected and deemed safe to occ - superficial stucco, repairs in progress"
0,No damage
0,No comments
1,restricted to front door use only-cracked on multi fireplaces
1,chimney on verge of falling
1,Cracked and displaced chimney
0,No comments
0,No comments (other residential)
0,"Drywall cracks in interior, no other damage"
1,Upper portion of chimney collapse.
0,No damage observed
0,"No damage noted from front yard, could not observe chimney"
1,chimney above roofline - in process of removing
1,"chimney collpased above roof, debris removed; do not use fireplace"
1,fireplace shear
1,top of brick chimney down
1,Chimney majorely damaged need permit to repair
1,"cracking of stucco, interior cracking, one severe at walls of fireplace, patio cover - danger of collapse - needs repair"
0,surface cracks in sheetrock
0,No damage minor stucco cracks
1,do not inhabit or utilize areas adjacent to chimney
1,Follow-up with Geo/ pool heaving/
1,chimney down at roof
0,"Very minor stucco cracks, no apparent cracks @ masonary, minor crack @ firebox/chimney to wall"
1,Chimney off of roof
1,From front: see chimney faliure @ roofline house fenced off so we could not tape off fall zone; possible foundation crack
0,No Structual Damage vivisble
1,foundating supportin post at front porch damaged
1,"moderate damage tolower bathroom wall, front porch over hang moved - OK to occ"
1,roof tile damage - roof deflectio noted over dining room - OK to occ
0,Minor indeterminate cracks on chimney @ interface w/roof
1,do not use fireplace until chimney is repaired
1,"Moderate cracks around chimney & porch, also cracks in backroom H wall E corner exter. Cracks @ same location"
1,Moderate to severe cracks on brm walls. Ext. & Int. ceilings has moderate cracks
1,do not use fireplace until chimney is repaired
1,do not use fireplace until chimney is repaired
0,"Chimney cracked appears to be old, chimeny has minor old hairline cracks, appears functional. No restrictions"
1,do not use fireplace until chimney is repaired
1,do not use fireplace until chimney is repaired
1,"windows walls racked, FP chimney broke at roofline; repair or remove"
1,Fireplace chimney down @ roofline-Damaged chimney removed-NO HAZARD
0,Mobile hm. Set on concrete blks as per CDHCD division of codes & standards. Previously posted green placard to remain
1,collapse of hanging lights
1,"Walls off foundation1-3"""
2,house shifted off foundation
1,top 1/4 of chimney down
1,Chimney Down
1,do not use carport
